SampleID,Month,Site,Source_plant,Plot,Plant,sampID,Timepoint,Coll_date,Cultivar,Sample_type,Collection_criteria,Source,LibraryGroup,SeqGroup,LibraryConc_ng.ul,Weight,HeightRyan,TestWeight,Yield,PercProtein,SoilMoist,Latitude,Longitude,HeightColl,Temp_col,Prec_grw,SGB,SNB,RustScore,Mildew,leafN,leafP,leafK,leafCa,leafMg,leafS,leafFe,leafMn,leafZn,leafCu,leafB,leafNa,leafAl,HM,W/V,CEC,BS,Ac,pH,soilP,soilK,soilCa,soilMg,soilS,soilMn,soilZn,soilCu,soilNa,Host_Month,Wheat,Grass,Herb
M22_16S_g16_H01,March,LENVT,wheat,566,p004,M22_1562,Jointing,3/14/23,Hilliard,individual,oldest_healthy,sample,16,4,0.17,7.35,55,58.7,43.7,NA,22.86,35.376646,-77.559983,12,13.4,268,2,5,0,NA,4.23,0.16,4.11,0.34,0.12,0.25,59.3,18.2,19.7,6.63,2.97,0.01,6.73,0.97,0.91,7.4,86,1,6.1,84,233,898,156,34,17.1,8.4,0.9,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g16_H02,March,WAKMP,wheat,B13,p004,M22_2452,Jointing,3/10/23,Catawba,individual,oldest_healthy,sample,16,4,5,NA,NA,NA,NA,NA,24.7,35.732666,-78.701547,18,12.7,324,5,4,0,0,4.17,0.42,2.76,0.49,0.11,0.24,65.4,65.9,22.2,2.51,2.77,0.01,12.7,0.56,1.21,4.6,59,1.9,4.8,373,67,445,34,18,23.4,8.1,0.6,0,wheat_March,wheat,Yes,Yes
M22_16S_g16_H11,March,ROWVT,wheat,429,p004,M22_2063,Jointing,3/15/23,Hilliard,individual,oldest_healthy,sample,16,4,2.3,12.99,94,56.6,76,NA,30.4,35.697219,-80.623181,20,11.7,390,0,5,0,2,4.84,0.46,1.83,0.63,0.23,0.33,66.5,138,23.6,8.4,3.42,0.01,3.88,0.32,0.89,7.8,70,2.3,5.5,332,66,708,213,30,369.6,10.5,3.8,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g17_A02,April,WASVT,wheat,251,p001,M22_1376,Heading,5/9/23,Hilliard,individual,oldest_healthy,sample,17,5,5,11.83,69,55.9,71.4,NA,19.1,35.849402,-76.656793,82,16.2,364,0,0,0,NA,2.98,0.12,1.16,0.52,0.26,0.15,78.7,94.3,13.8,6.25,4.27,0.01,31.2,4.32,0.95,10.2,73,2.7,5.4,55,91,1041,254,15,3.1,1.3,0.7,0.1,wheat_April,wheat,Yes,Yes
M22_16S_g17_A10,March,WAKMP,wheat,B09,p004,M22_2437,Jointing,3/10/23,Hilliard,individual,oldest_healthy,sample,17,5,5,NA,NA,NA,NA,NA,23.1,35.732532,-78.701518,10.01,12.7,324,2,5,0,0,3.86,0.4,3.31,0.43,0.1,0.25,65.1,65.1,27.4,2.93,2.91,0,12.8,0.56,1.16,4.6,55,2.1,4.7,355,86,388,44,17,23.6,7.9,0.7,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g17_B01,April,ROWVT,wheat,429,p003,M22_0703,Heading,4/27/23,Hilliard,individual,oldest_healthy,sample,17,5,5,12.99,94,56.6,76,NA,8.1,35.697219,-80.623181,80,15,469,0,5,0,2,3.67,0.3,1.14,1.16,0.37,0.29,72.4,216,24.6,7.62,4.96,0,12,0.41,0.93,8.2,79,1.7,5.8,307,78,859,246,20,216,11,3.8,0.1,wheat_April,wheat,Yes,Yes
M22_16S_g17_C07,April,WASVT,wheat,461,p005,M22_1390,Heading,5/9/23,Hilliard,individual,oldest_healthy,sample,17,5,5,15.02,77,56.2,92.1,NA,17.2,35.849539,-76.657698,84,16.2,364,0,0,0,NA,2.36,0.15,0.95,0.79,0.4,0.13,73.3,48,8.71,5.06,3.92,0.01,35.4,3.57,1,10.8,80,2.2,5.7,87,55,1177,320,14,2.7,0.8,0.8,0.1,wheat_April,wheat,Yes,Yes
M22_16S_g17_C09,March,WASVT,wheat,461,p005,M22_2643,Jointing,3/27/23,Hilliard,individual,oldest_healthy,sample,17,5,5,15.02,77,56.2,92.1,NA,22.6,35.849539,-76.657698,28.7,13.2,293,0,0,0,NA,4.03,0.31,1.93,0.41,0.21,0.2,64.5,41.7,17.5,8.98,4,0.01,9.16,2.44,0.96,11.4,81,2.1,5.9,93,55,1235,360,18,2.9,0.9,0.9,0.2,wheat_March,wheat,Yes,Yes
M22_16S_g17_E06,March,WAKMP,wheat,B15,p001,M22_2459,Jointing,3/10/23,USG3540,individual,oldest_healthy,sample,17,5,5,NA,NA,NA,NA,NA,22.32,35.732941,-78.701558,33.5,12.7,324,6,4,0,3,4.55,0.52,3.12,0.57,0.13,0.3,71.8,47.4,25.6,3.73,3.51,0.01,10.8,0.41,1.19,6,66,2,4.9,538,83,673,42,19,29.4,12.4,0.9,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g17_F10,April,ROBVT,wheat,373,p004,M22_0497,Heading,4/24/23,Hilliard,individual,oldest_healthy,sample,17,5,5,NA,NA,NA,NA,NA,3.4,34.511761,-79.307246,71,18.1,296,1,3,0,NA,3.38,0.2,1.54,0.42,0.14,0.17,63.9,25.4,14.9,6.09,4.1,0,6.89,0.36,1.25,4.2,74,1.1,5.8,103,44,461,90,8,10.6,4.3,0.6,0,wheat_April,wheat,Yes,Yes
M22_16S_g17_G02,March,WAKMP,wheat,B11,p003,M22_2441,Jointing,3/10/23,Catawba,individual,oldest_healthy,sample,17,5,5,NA,NA,NA,NA,NA,23.1,35.732396,-78.701534,15.5,12.7,324,5,5,0,0,3.88,0.36,2.44,0.39,0.11,0.22,63.3,55.5,20.4,2.04,2.49,0.01,9.24,0.66,1.02,4.1,50,2,4.8,269,66,319,35,18,19.2,6.8,0.6,0,wheat_March,wheat,Yes,Yes
M22_16S_g18_A05,April,UNIVT,wheat,201,p005,M22_0922,Heading,4/28/23,Hilliard,individual,oldest_healthy,sample,18,5,5,17.55,86,60,102.6374317,9,7.3,34.948831,-80.424662,96,16.4,407,0,2,0,0,3.26,0.24,1.5,0.79,0.18,0.18,76.3,42.2,16.7,6.83,12.2,0.01,10.7,0.36,0.83,13.7,90,1.3,6.4,305,87,2263,108,24,37.9,14.2,10.3,0.1,wheat_April,wheat,Yes,Yes
M22_16S_g18_A11,March,WAKMP,wheat,B02,p005,M22_2408,Jointing,3/10/23,Shirley,individual,oldest_healthy,sample,18,5,5,NA,NA,NA,NA,NA,23.63,35.733491,-78.701557,8.7,12.7,324,3,3,0,0,2.87,0.51,2.77,0.41,0.07,0.19,203,63.9,32.7,7.9,2.85,0,46.4,0.41,1.18,7.9,79,1.6,5.4,655,98,1104,57,17,31.7,14.5,1.4,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g18_C12,March,WAKMP,wheat,B02,p004,M22_2407,Jointing,3/10/23,Shirley,individual,oldest_healthy,sample,18,5,5,NA,NA,NA,NA,NA,23.63,35.733491,-78.701557,8.9,12.7,324,3,3,0,0,2.87,0.51,2.77,0.41,0.07,0.19,203,63.9,32.7,7.9,2.85,0,46.4,0.41,1.18,7.9,79,1.6,5.4,655,98,1104,57,17,31.7,14.5,1.4,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g18_D11,March,LENVT,wheat,363,p005,M22_1553,Jointing,3/14/23,Hilliard,individual,oldest_healthy,sample,18,5,5,7.25,66,58.9,43.1,NA,19.34,35.377256,-77.560338,19,13.4,268,2,3,1,NA,4.1,0.13,3.95,0.25,0.1,0.25,54.8,58,25.4,6.84,2.92,0.01,11.5,0.46,1.14,3.9,59,1.6,5.2,50,129,304,54,22,14.6,3.2,0.5,0.1,wheat_March,wheat,Yes,Yes
M22_16S_g18_E01,April,WAKMP,wheat,B14,p004,M22_1139,Heading,4/19/23,Hilliard,individual,oldest_healthy,sample,18,5,5,NA,NA,NA,NA,NA,21.5,35.732807,-78.701551,81,16,419,3,5,0,0,3.68,0.29,1.67,0.81,0.17,0.22,67.3,120,28.5,4.35,3.78,0,18.7,0.51,1.11,5.5,64,2,4.9,451,52,619,38,20,29.2,11,0.8,0.1,wheat_April,wheat,Yes,Yes
M22_16S_g18_E12,March,ROBVT,wheat,562,p001,M22_1887,Jointing,3/21/23,Hilliard,individual,oldest_healthy,sample,18,5,5,NA,NA,NA,NA,NA,20.86,34.511964,-79.308017,19.4,14.7,239,0,3,0,NA,4.06,0.33,3.09,0.35,0.12,0.23,58.5,49.3,24.7,4.84,3.3,0,9.87,0.92,1.05,6.2,69,2,5.3,271,74,684,81,19,22.9,7.6,1.4,0.1,wheat_March,wheat,Yes,Yes
