"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_36823","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__chinensis"
"ASV_36859","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_36861","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia",NA
"ASV_36864","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Parateratosphaeria",NA
"ASV_36868","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__micaceus"
"ASV_36870","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_36915","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae","g__Parathyridaria",NA
"ASV_36916","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__michotii"
"ASV_36918","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA
"ASV_36923","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Hydnaceae","g__Burgoa","s__verzuoliana"
"ASV_36935","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_36936","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Tilletiaceae","g__Tilletia",NA
"ASV_36963","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetales_fam_Incertae_sedis","g__Spizellomycetales_gen_Incertae_sedis",NA
"ASV_40450","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_36618",NA,NA,NA,NA,NA,NA,NA
"ASV_36623","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__patagonicus"
"ASV_36624","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_36628","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia","s__lonicerae"
"ASV_36638","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__oryzicola"
"ASV_36641",NA,NA,NA,NA,NA,NA,NA
"ASV_36646","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_36653","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","s__pini"
"ASV_36655",NA,NA,NA,NA,NA,NA,NA
