"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_000001","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_000002","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"ASV_000003","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA
"ASV_000004","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"ASV_000005","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000006","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000007","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000008","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000009","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000010","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000011","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000012","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000013","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000014","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000015","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000016","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"ASV_000018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000017","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000019","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000020","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000021","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"ASV_000022","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"ASV_000023","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA
"ASV_000024","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000025","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000026","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000027","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000028","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"ASV_000029","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium"
"ASV_000030","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000031","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000032","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000033","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000034","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000035","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"ASV_000036","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000043","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000037","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"ASV_000038","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000050","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000039","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000040","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000041","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000042","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000044","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000045","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000047","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000049","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000048","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000051","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000052","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000053","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000054","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000055","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000056","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000057","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia"
"ASV_000059","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000058","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"ASV_000060","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000062","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000069","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_000061","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium"
"ASV_000063","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000067","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"ASV_000068","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"ASV_000066","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter"
"ASV_000065","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000064","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia"
"ASV_000070","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000076","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000071","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000075","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora"
"ASV_000072","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000077","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000079","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora"
"ASV_000074","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000078","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000080","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000081","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000082","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000083","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000084","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae","Candidatus Uzinura"
"ASV_000086","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Verticiella"
"ASV_000087","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter"
"ASV_000085","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"ASV_000090","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000088","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000089","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000091","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"ASV_000096","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000092","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000094","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"ASV_000093","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"ASV_000095","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000097","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000098","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Williamsia"
"ASV_000101","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_000105","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000099","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000114","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000100","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000103","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_000109","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"ASV_000104","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000107","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_000122","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000102","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_000108","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
"ASV_000112","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000110","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_000111","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Endobacter"
"ASV_000113","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA
"ASV_000117","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_000115","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000126","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"ASV_000116","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_000119","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000118","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000120","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000124","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Amnibacterium"
"ASV_000121","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000123","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000129","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
"ASV_000127","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000128","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Endobacter"
"ASV_000137","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000130","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_000133","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_000139","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Blattabacteriaceae","Candidatus Uzinura"
"ASV_000134","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_000131","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000132","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Klenkia"
"ASV_000135","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Klenkia"
"ASV_000140","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_000136","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000144","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocella"
"ASV_000141","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"ASV_000138","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000143","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000148","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000142","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000146","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_000145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000147","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000150","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000149","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ASV_000153","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA
"ASV_000154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000151","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000152","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"ASV_000158","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium"
"ASV_000156","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000157","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_000161","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium"
"ASV_000159","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"ASV_000162","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000160","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_000163","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000164","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter-Flavimobilis"
"ASV_000170","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"ASV_000165","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000166","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"ASV_000168","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000171","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_000174","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Verticiella"
"ASV_000172","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000173","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Pseudokineococcus"
"ASV_000179","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_000178","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000175","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000177","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000176","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum"
"ASV_000184","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000180","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Herbiconiux"
"ASV_000182","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000187","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV_000183","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"ASV_000181","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Candidatus Phytoplasma"
"ASV_000192","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000185","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000190","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000189","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Amnibacterium"
"ASV_000191","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora"
"ASV_000193","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"ASV_000186","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_000198","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia"
"ASV_000204","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera"
"ASV_000212","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade"
"ASV_000188","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000201","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Patulibacter"
"ASV_000194","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Bryocella"
"ASV_000199","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium"
"ASV_000195","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter"
"ASV_000218","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000203","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter"
"ASV_000196","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000197","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000202","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_000200","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV_000205","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12"
"ASV_000206","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ASV_000207","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Endobacter"
"ASV_000209","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000208","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000217","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000213","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000220","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Knoellia"
"ASV_000214","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV_000210","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000318","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","endosymbionts"
"ASV_000211","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000223","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ASV_000219","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus"
"ASV_000229","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"ASV_000215","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000238","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
"ASV_000222","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella"
"ASV_000216","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_000231","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"ASV_000221","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_000228","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_000232","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ASV_000257","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group"
"ASV_000225","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000224","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000239","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV_000226","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_000227","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_000235","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"ASV_000233","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans"
"ASV_000230","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"ASV_000240","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus"
